id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
10596930478,Saldosa Maloca,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.489964,-48.4608985,Não especificada,
10596930479,Portas Abertas Combu,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4908099,-48.4620913,Não especificada,
10596930480,Restaurante Casaverde.Combu,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4910251,-48.461893,Não especificada,
10596930481,Nossa Maloca,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4914033,-48.4620412,Não especificada,
10596930482,Maloca sabor da ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.492433,-48.461926,Não especificada,
10596930483,Restaurante rústico da ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4949795,-48.4613063,Não especificada,
10596930484,Coffee Combú,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4953978,-48.4613752,Não especificada,
10596930485,Restaurante combú grill,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4954948,-48.4613718,Não especificada,
10596930486,Restaurante em Belém - Elohim Restaurante do Tatu,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4961476,-48.461317,Não especificada,
10597518441,Mirante do Combú,Restaurante,Ilha do Combu,,,Ilha do Combu,-1.4897925,-48.4625552,Não especificada,
10597518442,Solar Da Ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4898574,-48.4636773,Não especificada,
10597518444,Resenha do Combú,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4906681,-48.4693908,Não especificada,
10597518445,Gamboa gastrobar,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4909034,-48.4691608,Não especificada,
10597518446,Kiosque da Ilha do Combú,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4909987,-48.4708284,Não especificada,
10597518447,Remanso da ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4910393,-48.4712187,Não especificada,
10597518448,Maloca Do Pureza,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4910441,-48.4713154,Não especificada,
10597518449,Espaço Aruna Combú,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.491259,-48.472102,Não especificada,
10597518450,Boteco da Ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4918914,-48.47403,Não especificada,
10597518451,Amazon River. Combu,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4921378,-48.4746293,Não especificada,
10597518452,Matapy Restaurante,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4933614,-48.4789733,Não especificada,
10597518453,Bar Canoas - Maloca do Pureza,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.493556,-48.4795945,Não especificada,
10597518454,Flor do Combú,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4937753,-48.4805323,Não especificada,
10597518455,Maloca o Marinheiro,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4938602,-48.4807854,Não especificada,
10597518456,Bistrô da ilha,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4939805,-48.4813322,Não especificada,
10597518457,Bar beira rio,Bar,Ilha do Combu,,,Ilha do Combu,-1.4941557,-48.4812119,Não especificada,
10597518458,A cabana,Bar,Ilha do Combu,,,Ilha do Combu,-1.4943609,-48.4811181,Não especificada,
10597518459,Paid'egua,Restaurante,Ilha do Combu,,,Ilha do Combu,-1.4943505,-48.4836876,Não especificada,
10597518460,Maloca Império de Maria,Restaurante,Ilha do Combu,,,Ilha do Combu,-1.4944614,-48.484982,Não especificada,
10597518462,Combuzinho bed and breakfast,Restaurante,Ilha do Combu,,,Ilha do Combu,-1.4948414,-48.4890298,Não especificada,
10597518463,Casa Combu,Restaurante,Ilha do Combu,,,Ilha do Combu,-1.4948232,-48.4892901,Não especificada,
10597518464,Recanto dos Parentes,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.498194,-48.4920861,Não especificada,
10597518466,Combu Vibes,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.5169803,-48.4757336,Não especificada,
10597518467,Restô da Márcia,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.5194266,-48.4579899,Não especificada,
10597518468,Bar do Chico,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.5022856,-48.4444588,Não especificada,
10597518470,Canto dos Pássaros,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.5039219,-48.4475523,Não especificada,
10597518471,Maloca do Seu Pedro,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4895351,-48.4549902,Não especificada,
10597518472,Bar Ilha da Fantasia,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4896021,-48.4548625,Não especificada,
10709995205,Cafeteria SanMar,Café,Avenida João Paulo II,456,,"Avenida João Paulo II, 456",-1.4296468,-48.4485241,Não especificada,
10713020705,Tacacá de Flávia,Fast Food/Lanchonete,Avenida João Paulo II,,,Avenida João Paulo II,-1.431252,-48.4516981,brazilian,
10906802198,Restaurante Universitário (RU) Profissional,Restaurante,RU,,,RU,-1.473437,-48.4506511,regional,https://saest.ufpa.br/ru/index.php/component/cardapio/
10910175090,CAPe - UFPA,Centro Comunitário,Bloco E - Proffisional - UFPA,,,Bloco E - Proffisional - UFPA,-1.4739135,-48.4511346,Não especificada,
10910175092,Veroposeinho Profissional UFPA,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4737539,-48.4505434,regional;coffee_shop;burger;pizza;sandwich;chicken;chocolate;pasta;juice;salad;cake;hot_dog;ice_cream,
10922951433,Cantina,Fast Food/Lanchonete,Acesso a Cantina,,,Acesso a Cantina,-1.4729045,-48.4500025,regional;coffee_shop;cake,
10922951456,Auditório - ICED,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4727052,-48.4498787,Não especificada,
10922951486,Auditório - ICSA,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4728498,-48.4493239,Não especificada,
