DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DABEN,TAPANA,RUA  PRINCIPAL BENEDITO MONTEIRO,2,-1.342394,-48.452011,BAR,1.0
DAICO,PARQUE GUAJARA,RUA  PRINCIPAL BENEDITO MONTEIRO,0,-1.340286,-48.455129,PEIXARIA,1.0
DAICO,PARQUE GUAJARA,RUA  PRINCIPAL BENEDITO MONTEIRO,0,-1.340265,-48.455158,VENDA DE CHURRASCO,1.0
DASAC,SACRAMENTA,PASSAGEM  BANDEIRANTE,40,-1.411158,-48.476122,BAR DA TIA AUREA,1.0
DABEN,COQUEIRO,TRAVESSA  WE 8,165,-1.341687,-48.447803,BAR DO DANONE,1.0
DABEN,COQUEIRO,TRAVESSA  WE 5,244,-1.343316,-48.446793,BAR,1.0
DABEN,COQUEIRO,TRAVESSA  NOVE,18,-1.355534,-48.438435,RESTAURANTE SABOR DO PARA,1.0
DASAC,PEDREIRA,TRAVESSA  ANGUSTURA,1505,-1.423698,-48.473307,BAR SAMBA CHOOP,1.0
DASAC,PEDREIRA,TRAVESSA  ANGUSTURA,1505,-1.423698,-48.473307,RESTAURANTE,1.0
DAMOS,BAIA DO SOL,RUA  BEIRA RIO,188,-1.062718,-48.336088,BAR E RESTAURANTE,1.0
DAMOS,BAIA DO SOL,RUA  BEIRA RIO,0,-1.064474,-48.332903,BAR RAIO DO SOL,1.0
DAICO,PARQUE GUAJARA,RUA  VINTE E TRES DE FEVEREIRO,0,-1.323145,-48.466078,AMIGOS BAR,1.0
DAICO,PONTA GROSSA,RUA  SIQUEIRA MENDES,398,-1.30278,-48.489451,BAR DO MANDUCA,1.0
DAICO,CRUZEIRO,RUA CORONEL JUVENCIO SARMENTO,897,-1.29994,-48.481609,SKINA BAR,1.0
DASAC,TELEGRAFO,PASSAGEM  NAUTICA,45,-1.419707,-48.488563,BAR,1.0
DAICO,CRUZEIRO,RUA  QUINZE DE AGOSTO,16,-1.294761,-48.483853,RESTAURANTE CRUZEIRO,1.0
DAGUA,MONTESE (TERRA FIRME),PASSAGEM  DOIS DE JUNHO,12,-1.45358,-48.452817,BAR LISBOA,1.0
